	text	gold	goldStr	text2	sys	sysStr	cf_sents
1463	Il le prend par la main.	6	interaction	Il le prend par la main.	6	interaction	0
1464	Les porteurs se retirent.	5	exit	Les porteurs se retirent.	5	exit	0
1465	Bernard prend le portefeuille.	10	object	Bernard prend le portefeuille.	0	action	0
1466	Il sort en courant.	5	exit	Il sort en courant.	5	exit	0
1467	AIR : Des Pendus.	8	music	AIR : Des Pendus.	11	setting	0
1468	En embrassant Monsieur Devaux.	6	interaction	En embrassant Monsieur Devaux.	6	interaction	0
1469	On offre des présents.	10	object	On offre des présents.	3	delivery	0
1470	À Mme Vigneron.	12	toward	À Mme Vigneron.	12	toward	0
1471	Le Facteur s'en va.	5	exit	Le Facteur s'en va.	5	exit	0
1472	Madeleine, qui est restée la dernière avec Pierrette, chancelle au moment de sortir ; Pierrette la retient dans ses bras.	11	setting	Madeleine, qui est restée la dernière avec Pierrette, chancelle au moment de sortir ; Pierrette la retient dans ses bras.	6	interaction	0
1473	Il lit les requêtes.	0	action	Il lit les requêtes.	0	action	0
1474	Il parle au Chevalier.	12	toward	Il parle au Chevalier.	6	interaction	0
1475	Air 178 : Ah ! Quel plaisir lorsqu'après mille alarmes.	12	toward	Air 178 : Ah ! Quel plaisir lorsqu'après mille alarmes.	9	narration	0
1476	Cet air chanté, le page de Phinée et cette nymphe font un dialogue en musique, dont chaque couplet à pour refrain l'oracle que Vénus a prononcé au premier acte en faveur de ces deux amants, chanté par les deux voies unies, et répété par le choeur entier de la musique.	8	music	Cet air chanté, le page de Phinée et cette nymphe font un dialogue en musique, dont chaque couplet à pour refrain l'oracle que Vénus a prononcé au premier acte en faveur de ces deux amants, chanté par les deux voies unies, et répété par le choeur entier de la musique.	8	music	0
1477	Apercevant sa femme.	0	action	Apercevant sa femme.	6	interaction	0
1478	Tirant un portefeuille de sa poche.	10	object	Tirant un portefeuille de sa poche.	0	action	0
1479	LE MOINEAU EN CAGE.	8	music	LE MOINEAU EN CAGE.	11	setting	0
1480	Entrée de Dangeville et de Lolotte.	4	entrance	Entrée de Dangeville et de Lolotte.	4	entrance	0
1481	I. Geneviève ayant passé doucement la nuit dans sa Grotte, est félicitée à son réveil d'un concert de Musique que lui font les Anges qui la servent dans une profonde extase.	0	action	I. Geneviève ayant passé doucement la nuit dans sa Grotte, est félicitée à son réveil d'un concert de Musique que lui font les Anges qui la servent dans une profonde extase.	9	narration	0
1482	Criant au travers de la porte.	3	delivery	Criant au travers de la porte.	4	entrance	0
1483	À Dufour.	12	toward	À Dufour.	12	toward	0
1484	Au député.	12	toward	Au député.	12	toward	0
1485	L'un passe par devant Lucinde, et l'autre par devant Géronte, et prennent tous deux le milieu, ils se trouvent l'un près de l'autre.	7	movement	L'un passe par devant Lucinde, et l'autre par devant Géronte, et prennent tous deux le milieu, ils se trouvent l'un près de l'autre.	7	movement	0
1486	AIR. Oh ! oh ! ah, ah.	8	music	AIR. Oh ! oh ! ah, ah.	3	delivery	0
1487	Madame Leblanc montre successivement ses broderies.	0	action	Madame Leblanc montre successivement ses broderies.	0	action	0
1488	Le Théâtre représente un Cabinet de verdure, où aboutissent plusieurs allées de charmille ; sur le devant est un banc de gazon. Au fond, dans l'éloignement, on aperçoit le Château du Marquis.	11	setting	Le Théâtre représente un Cabinet de verdure, où aboutissent plusieurs allées de charmille ; sur le devant est un banc de gazon. Au fond, dans l'éloignement, on aperçoit le Château du Marquis.	11	setting	0
1489	Il s'appuie contre un arbre.	0	action	Il s'appuie contre un arbre.	7	movement	0
1490	Et puis à tous.	12	toward	Et puis à tous.	6	interaction	0
1491	Il montre celle qui est sur le tombeau d'Artamon.	0	action	Il montre celle qui est sur le tombeau d'Artamon.	0	action	0
1492	Tirant une boîte à mouches.	10	object	Tirant une boîte à mouches.	10	object	0
1493	AIR : Jardinier ne vois-tu pas.	8	music	AIR : Jardinier ne vois-tu pas.	2	aparte	0
1494	Écartant le verre.	10	object	Écartant le verre.	10	object	0
1495	Esther entre, s'appuyant sur Élise ; quatre Israélites soutiennent sa robe.	4	entrance	Esther entre, s'appuyant sur Élise ; quatre Israélites soutiennent sa robe.	4	entrance	0
1496	On entend le canon au loin.	0	action	On entend le canon au loin.	8	music	0
1497	On entend une sourde rumeur à la cantonade.	9	narration	On entend une sourde rumeur à la cantonade.	9	narration	0
1498	Ils rentrent.	5	exit	Ils rentrent.	4	entrance	0
1499	DAPHNIS ET SYLVANDRE ensemble.	3	delivery	DAPHNIS ET SYLVANDRE ensemble.	8	music	0
1500	Le théâtre représente des prairies agréables où le Fleuve Inachus serpente.	11	setting	Le théâtre représente des prairies agréables où le Fleuve Inachus serpente.	11	setting	0
1501	L'impératrice et le pape se battent, l'une avec son sceptre et l'autre avec sa croix : un coup de sceptre casse la croix ; le pape jette sa tiare à la tête de Catherine et lui renverse sa couronne. Ils se battent avec leurs chaînes. Le roi de Pologne veut mettre le holà, en ôtant des mains le sceptre à Catherine.	9	narration	L'impératrice et le pape se battent, l'une avec son sceptre et l'autre avec sa croix : un coup de sceptre casse la croix ; le pape jette sa tiare à la tête de Catherine et lui renverse sa couronne. Ils se battent avec leurs chaînes. Le roi de Pologne veut mettre le holà, en ôtant des mains le sceptre à Catherine.	1	aggression	0
1502	Verseuil donne la main à Julie.	6	interaction	Verseuil donne la main à Julie.	6	interaction	0
1503	Cadet aura un plat à barbe en main, le petit portera le peignoir et la mère aura des hardes sous le bras.	10	object	Cadet aura un plat à barbe en main, le petit portera le peignoir et la mère aura des hardes sous le bras.	7	movement	0
1504	Elle sort en colère.	5	exit	Elle sort en colère.	5	exit	0
1505	Le vieillard sert de truchement aux sauvages, devant lesquels passent en revue les rois. Il leur traduit dans le langage des signes, ce qui se dit à mesure que les rois paraissent sur la scène. Les sauvages donnent tour à tour des marques d'étonnement et d'indignation.	9	narration	Le vieillard sert de truchement aux sauvages, devant lesquels passent en revue les rois. Il leur traduit dans le langage des signes, ce qui se dit à mesure que les rois paraissent sur la scène. Les sauvages donnent tour à tour des marques d'étonnement et d'indignation.	9	narration	0
1506	Il ouvre le tiroir.	0	action	Il ouvre le tiroir.	0	action	0
1507	Le Théâtre représente le Palais de LA FOLIE.	11	setting	Le Théâtre représente le Palais de LA FOLIE.	11	setting	0
1508	Il lui montre des bagues qu'il a.	0	action	Il lui montre des bagues qu'il a.	10	object	0
1509	Ils se pressent les mains.	6	interaction	Ils se pressent les mains.	6	interaction	0
1510	En apercevant le Comte.	0	action	En apercevant le Comte.	6	interaction	0
1511	Polidor doit avoir suivi Tirsis.	7	movement	Polidor doit avoir suivi Tirsis.	7	movement	0
1512	Elle porte la bague à ses lèvres.	1	aggression	Elle porte la bague à ses lèvres.	0	action	0
1513	AIR : Monsieur le Prévôt des Marchands.	8	music	AIR : Monsieur le Prévôt des Marchands.	4	entrance	0
1514	Cris au-dehors :	3	delivery	Cris au-dehors :	4	entrance	0
1515	Béatrix se retire.	7	movement	Béatrix se retire.	5	exit	0
1516	Elle se lève, et parcourt la chambre de long en large.	0	action	Elle se lève, et parcourt la chambre de long en large.	7	movement	0
1517	À la Reine.	12	toward	À la Reine.	4	entrance	0
1518	Montrant Milady.	0	action	Montrant Milady.	6	interaction	0
1519	À Zaide.	12	toward	À Zaide.	12	toward	0
1520	Air : Le tout par nature.	8	music	Air : Le tout par nature.	11	setting	0
1521	Il s'en retourne.	5	exit	Il s'en retourne.	5	exit	0
1522	Il arrache les papiers.	10	object	Il arrache les papiers.	1	aggression	0
1523	Cléandre et Ferrande reviennent.	7	movement	Cléandre et Ferrande reviennent.	4	entrance	0
1524	PANTOMIME.	8	music	PANTOMIME.	0	action	0
1525	AIR. ( Quand je tiens de ce jus d'octobre. )	8	music	AIR. ( Quand je tiens de ce jus d'octobre. )	3	delivery	0
1526	Adrien sort.	5	exit	Adrien sort.	5	exit	0
1527	Ouvrant la première lettre.	0	action	Ouvrant la première lettre.	10	object	0
1528	AIR. N'avez-vous pas vu l'horloge.	8	music	AIR. N'avez-vous pas vu l'horloge.	2	aparte	0
1529	Montrant Criséis.	0	action	Montrant Criséis.	6	interaction	0
1530	Montrant Frontin.	0	action	Montrant Frontin.	6	interaction	0
1531	Air 200. Du Feu d'Artifice.	8	music	Air 200. Du Feu d'Artifice.	8	music	0
1532	Cécile et Germeuil s'approchent.	7	movement	Cécile et Germeuil s'approchent.	6	interaction	0
1533	Ils continuent a chercher le faux Prophète, qui jette sur eux quantité de pétards et d'autres feux d'artifice qui enflamment l'air. On voit en même temps Arlequin dans sa machine qui traverse le théâtre. Il a un pourpoint noir avec un turban et une longue barbe blanche. Le Roi et le Kam sont frappés de cette apparition ; et la Suivante profitant de la crainte dont elle voit le Roi saisi lui dit :	9	narration	Ils continuent a chercher le faux Prophète, qui jette sur eux quantité de pétards et d'autres feux d'artifice qui enflamment l'air. On voit en même temps Arlequin dans sa machine qui traverse le théâtre. Il a un pourpoint noir avec un turban et une longue barbe blanche. Le Roi et le Kam sont frappés de cette apparition ; et la Suivante profitant de la crainte dont elle voit le Roi saisi lui dit :	9	narration	0
1534	La Branche sort.	5	exit	La Branche sort.	5	exit	0
1535	On entend un outil qui fourrage dans la serrure.	9	narration	On entend un outil qui fourrage dans la serrure.	10	object	0
1536	Arlequin voyant son maître revenu lui dit ;	0	action	Arlequin voyant son maître revenu lui dit ;	6	interaction	0
1537	À Virgine.	12	toward	À Virgine.	12	toward	0
1538	La Scène se passe dans le palais de Lothaire.	11	setting	La Scène se passe dans le palais de Lothaire.	11	setting	0
1539	AIR : J'en avons tant ri	8	music	AIR : J'en avons tant ri	2	aparte	0
1540	Le théâtre représente un salon élégant dans une maison de campagne.	11	setting	Le théâtre représente un salon élégant dans une maison de campagne.	11	setting	0
1541	Il s'échappe.	7	movement	Il s'échappe.	5	exit	0
1542	Air : Quand la bergère vient des champs.	8	music	Air : Quand la bergère vient des champs.	4	entrance	0
1543	Entrée des forgerons.	5	exit	Entrée des forgerons.	4	entrance	0
1544	Il s'approche d'un tombeau.	7	movement	Il s'approche d'un tombeau.	7	movement	0
1545	Il donne une épée à Francis et l'autre à Alfred.	10	object	Il donne une épée à Francis et l'autre à Alfred.	3	delivery	0
1546	À Léonidas.	12	toward	À Léonidas.	12	toward	0
1547	Apercevant Dormene.	0	action	Apercevant Dormene.	6	interaction	0
1548	On voit paraître le Marquis dans le miroir.	4	entrance	On voit paraître le Marquis dans le miroir.	4	entrance	0
1549	À son fils	12	toward	À son fils	12	toward	0
1550	Montrant Martin.	7	movement	Montrant Martin.	6	interaction	0
1551	Regardant sa fille.	0	action	Regardant sa fille.	6	interaction	0
1552	Air : Lanturlu.	8	music	Air : Lanturlu.	8	music	0
1553	Elle passe à gauche.	11	setting	Elle passe à gauche.	7	movement	0
1554	Tous reviennent, et Madame Raquin remet la lampe sur la table.	7	movement	Tous reviennent, et Madame Raquin remet la lampe sur la table.	0	action	0
1555	Sainte Cécile sort.	5	exit	Sainte Cécile sort.	5	exit	0
1556	Air : Voulez-vous savoir qui des deux	8	music	Air : Voulez-vous savoir qui des deux	2	aparte	0
1557	À Valentin	12	toward	À Valentin	12	toward	0
1558	Parlant à son cheval.	12	toward	Parlant à son cheval.	6	interaction	0
1559	AIR. Tout roule aujourd'hui dans le monde.	8	music	AIR. Tout roule aujourd'hui dans le monde.	9	narration	0
1560	Brécourt et Duparc commencent à enlever les accessoires.	10	object	Brécourt et Duparc commencent à enlever les accessoires.	0	action	0
1561	À Drouillac.	12	toward	À Drouillac.	12	toward	0
1562	Apercevant Angélique.	0	action	Apercevant Angélique.	4	entrance	0
1563	Ayant l'air de chercher autour d'elle.	0	action	Ayant l'air de chercher autour d'elle.	7	movement	0
1564	Et à Hortensius.	12	toward	Et à Hortensius.	12	toward	0
1565	On les apaise à grand peine.	3	delivery	On les apaise à grand peine.	6	interaction	0
1566	Duparc sort.	5	exit	Duparc sort.	5	exit	0
1567	Il embrasse Nicette et Mimi.	6	interaction	Il embrasse Nicette et Mimi.	6	interaction	0
1568	Il remonte la scène.	7	movement	Il remonte la scène.	7	movement	0
1569	Il s'approche après avoir fait tout ce qu'il a dit ci-dessus.	7	movement	Il s'approche après avoir fait tout ce qu'il a dit ci-dessus.	7	movement	0
1570	Aux guerriers.	12	toward	Aux guerriers.	1	aggression	0
1571	Villiers disparaît.	5	exit	Villiers disparaît.	5	exit	0
1572	AIR. ( L'autre nuit j'aperçus en songe. }	8	music	AIR. ( L'autre nuit j'aperçus en songe. }	9	narration	0
1573	Ils s'avancent tous quatre l'épée à la main.	0	action	Ils s'avancent tous quatre l'épée à la main.	1	aggression	0
1574	Il lui porte de même son bras sous le nez.	1	aggression	Il lui porte de même son bras sous le nez.	1	aggression	0
1575	On entend des clameurs en dehors.	3	delivery	On entend des clameurs en dehors.	9	narration	0
1576	Elle a assemblé dans le petit sac tous les bijoux.	10	object	Elle a assemblé dans le petit sac tous les bijoux.	0	action	0
1577	Il leur montre un mur qu'on tourne sur un pivot de fer.	0	action	Il leur montre un mur qu'on tourne sur un pivot de fer.	10	object	0
1578	Air : A travers ce flacon brillant.	8	music	Air : A travers ce flacon brillant.	10	object	0
1579	Continuant à lire.	0	action	Continuant à lire.	0	action	0
1580	Il lui donne de l'argent.	10	object	Il lui donne de l'argent.	10	object	0
1581	Le théâtre représente un site pittoresque ; une habitation est à la droite du spectateur ; parmi les arbres qui décorent la scène, on remarque un sumac du Canada, qui doit être plus apparent que les autres.	11	setting	Le théâtre représente un site pittoresque ; une habitation est à la droite du spectateur ; parmi les arbres qui décorent la scène, on remarque un sumac du Canada, qui doit être plus apparent que les autres.	11	setting	0
1582	Léandre sort avec Babot.	5	exit	Léandre sort avec Babot.	5	exit	0
1583	Le sujet est d'un Fermier de Livry, qui, par l'adresse de sa femme, se trouve engagé de donner sa nièce à un jeune homme de Paris, quoiqu'il l'eût promise au collecteur. Le moyen dont la femme se sert, est qu'elle feint d'être amoureuse de l'Amant aimé de la nièce. Elle fait même éclater cette feinte passion aux yeux de son mari, qui, pour éviter les suites et les inconvénients, manque de parole au collecteur, fait épouser en hâte sa nièce à son Amant, qu'il croit être aimé de sa femme. Le Divertissement qui suit sert de prélude à la Noce.	9	narration	Le sujet est d'un Fermier de Livry, qui, par l'adresse de sa femme, se trouve engagé de donner sa nièce à un jeune homme de Paris, quoiqu'il l'eût promise au collecteur. Le moyen dont la femme se sert, est qu'elle feint d'être amoureuse de l'Amant aimé de la nièce. Elle fait même éclater cette feinte passion aux yeux de son mari, qui, pour éviter les suites et les inconvénients, manque de parole au collecteur, fait épouser en hâte sa nièce à son Amant, qu'il croit être aimé de sa femme. Le Divertissement qui suit sert de prélude à la Noce.	9	narration	0
1584	Elle rend la lettre a Clémentine.	10	object	Elle rend la lettre a Clémentine.	3	delivery	0
1585	Dorante, se jetant de nouveau à ses pieds.	0	action	Dorante, se jetant de nouveau à ses pieds.	0	action	0
1586	Le théâtre représente le devant de la maison de Pantalon.	11	setting	Le théâtre représente le devant de la maison de Pantalon.	11	setting	0
1587	Il ouvre la porte et lit attentivement une carte de visite clouée à l'extérieur.	0	action	Il ouvre la porte et lit attentivement une carte de visite clouée à l'extérieur.	0	action	0
1588	Au Suisse.	12	toward	Au Suisse.	11	setting	0
1589	Phalante continue.	3	delivery	Phalante continue.	7	movement	0
1590	Le théâtre représente le palais d'Aëtès.	11	setting	Le théâtre représente le palais d'Aëtès.	11	setting	0
1591	Il jette sa bague à terre.	10	object	Il jette sa bague à terre.	0	action	0
1592	Ils le frappent.	1	aggression	Ils le frappent.	1	aggression	0
1593	Pauline à la rue avec une chandelle, et Élise à la fenêtre.	11	setting	Pauline à la rue avec une chandelle, et Élise à la fenêtre.	7	movement	0
1594	À Estelle.	12	toward	À Estelle.	12	toward	0
1595	Scènes italiennes.	8	music	Scènes italiennes.	11	setting	0
1596	Ils se battent, et Roger ne fait que parer les coups.	1	aggression	Ils se battent, et Roger ne fait que parer les coups.	1	aggression	0
1597	Il chante un petit motet.	3	delivery	Il chante un petit motet.	8	music	0
1598	Ils se regardent tous deux avec leurs lunettes.	0	action	Ils se regardent tous deux avec leurs lunettes.	6	interaction	0
1599	Voulant lui prendre la main.	6	interaction	Voulant lui prendre la main.	6	interaction	0
1600	Il dit ces vers tout bas.	3	delivery	Il dit ces vers tout bas.	3	delivery	0
1601	Apercevant le Lord Houzey et le Marquis.	0	action	Apercevant le Lord Houzey et le Marquis.	4	entrance	0
1602	Il réitère souvent.	3	delivery	Il réitère souvent.	3	delivery	0
1603	Air : J'aime une jeune Brunette.	8	music	Air : J'aime une jeune Brunette.	2	aparte	0
1604	Louis se lève.	0	action	Louis se lève.	0	action	0
1605	Lavinie rentre et Albine continue.	3	delivery	Lavinie rentre et Albine continue.	4	entrance	0
1606	Elle se met en devoir d'ôter celui qui est sur sa tête.	10	object	Elle se met en devoir d'ôter celui qui est sur sa tête.	0	action	0
1607	Il appuie ses deux mains sur sa poitrine.	0	action	Il appuie ses deux mains sur sa poitrine.	0	action	0
1608	Il entre dans la maison.	5	exit	Il entre dans la maison.	4	entrance	0
1609	On reprend le rondeau en choeur.	10	object	On reprend le rondeau en choeur.	8	music	0
1610	Air : On dit que je suis sans malice.	8	music	Air : On dit que je suis sans malice.	2	aparte	0
1611	Prélude.	8	music	Prélude.	8	music	0
1612	Il tire sa lettre.	10	object	Il tire sa lettre.	10	object	0
1613	Molière rentre.	4	entrance	Molière rentre.	4	entrance	0
1614	Auguste entre.	4	entrance	Auguste entre.	4	entrance	0
1615	À Madame Dangeville.	12	toward	À Madame Dangeville.	12	toward	0
1616	À Atrée.	12	toward	À Atrée.	4	entrance	0
1617	Il rebaise son sein.	6	interaction	Il rebaise son sein.	0	action	0
1618	À Arzame et au jeune Arzémon.	12	toward	À Arzame et au jeune Arzémon.	12	toward	0
1619	Rire général.	3	delivery	Rire général.	0	action	0
1620	Maître Godard la presse, encor, du geste, seulement.	6	interaction	Maître Godard la presse, encor, du geste, seulement.	6	interaction	0
1621	Voyant paraître M De Forlis.	0	action	Voyant paraître M De Forlis.	4	entrance	0
1622	On entend dans la Chambre voisine, VAÎné qui appelle à lui en criant.	0	action	On entend dans la Chambre voisine, VAÎné qui appelle à lui en criant.	6	interaction	0
1623	À Rosbif.	12	toward	À Rosbif.	12	toward	0
1624	Air : Vaudeville de Claudine.	8	music	Air : Vaudeville de Claudine.	8	music	0
1625	Il appelle ses valets.	3	delivery	Il appelle ses valets.	6	interaction	0
1626	Il recule d'un autre côté.	7	movement	Il recule d'un autre côté.	7	movement	0
1627	Le Théâtre représente une Place publique.	11	setting	Le Théâtre représente une Place publique.	11	setting	0
1628	Sabine rentre, et Dorante continue.	5	exit	Sabine rentre, et Dorante continue.	4	entrance	0
1629	Air 51 : Branle de Metz retourné.	8	music	Air 51 : Branle de Metz retourné.	8	music	0
1630	À la petite Befor.	12	toward	À la petite Befor.	6	interaction	0
1631	À Denys.	12	toward	À Denys.	12	toward	0
1632	[À tous.]	12	toward	[À tous.]	6	interaction	0
1633	Plus haut encore.	3	delivery	Plus haut encore.	7	movement	0
1634	Hilaire père s'avance par la porte à demi-ouverte ; il est suivi de son fils. Il lui fait signe de ne pas faire du bruit. Ils marchent doucement ; leurs pas sont tremblants. Ils vont visiter en silence si la porte est bien fermée. Le père prend son fils par la main, la serre avec tendresse, le regarde les larmes aux yeux, et lui dit d'une voix altérée et faible :	0	action	Hilaire père s'avance par la porte à demi-ouverte ; il est suivi de son fils. Il lui fait signe de ne pas faire du bruit. Ils marchent doucement ; leurs pas sont tremblants. Ils vont visiter en silence si la porte est bien fermée. Le père prend son fils par la main, la serre avec tendresse, le regarde les larmes aux yeux, et lui dit d'une voix altérée et faible :	6	interaction	0
1635	Air : Ne m'entendez-vous pas	8	music	Air : Ne m'entendez-vous pas	3	delivery	0
1636	D'une voix il fait marcher la sonnerie. Carillon chez le ministre.	0	action	D'une voix il fait marcher la sonnerie. Carillon chez le ministre.	8	music	0
1637	Le paysan veut à son tour prendre Ninette ; mais l'âne, qui s'impatiente, commence à sauter et lancer des ruades à droite et à gauche. Le paysan, pour en éviter une dans le ventre, se retourne et la reçoit dans le derrière. Ninette, qui, pendant ce débat, n'a cessé de crier Maman ! pique son âne et se sauve en disant :	9	narration	Le paysan veut à son tour prendre Ninette ; mais l'âne, qui s'impatiente, commence à sauter et lancer des ruades à droite et à gauche. Le paysan, pour en éviter une dans le ventre, se retourne et la reçoit dans le derrière. Ninette, qui, pendant ce débat, n'a cessé de crier Maman ! pique son âne et se sauve en disant :	6	interaction	0
1638	En s'efforçant de paraître encore plus calme	3	delivery	En s'efforçant de paraître encore plus calme	3	delivery	0
1639	À Raton.	12	toward	À Raton.	4	entrance	0
1640	À Mignonnet	12	toward	À Mignonnet	2	aparte	0
1641	Les deux femmes remontent.	7	movement	Les deux femmes remontent.	7	movement	0
1642	Il frappe à une autre porte.	0	action	Il frappe à une autre porte.	7	movement	0
1643	À Édouard.	12	toward	À Édouard.	12	toward	0
1644	Au même temps les Ambassadeurs de Ritiger redoublent leur demande, mais non pas avec un meilleur succès que la première fois ; sinon que par une adresse secrète ils laissent leur bague dans le Palais de cette Reine.	9	narration	Au même temps les Ambassadeurs de Ritiger redoublent leur demande, mais non pas avec un meilleur succès que la première fois ; sinon que par une adresse secrète ils laissent leur bague dans le Palais de cette Reine.	9	narration	0
1645	Ubalde présente le bouclier de diamant aux yeux de Renaud.	0	action	Ubalde présente le bouclier de diamant aux yeux de Renaud.	10	object	0
1646	Le théâtre représente un salon très orné.	11	setting	Le théâtre représente un salon très orné.	11	setting	0
1647	Un moment sans rien dire.	3	delivery	Un moment sans rien dire.	6	interaction	0
1648	AIR. Perrette étant dessus l'herbette.	8	music	AIR. Perrette étant dessus l'herbette.	11	setting	0
1649	Il plonge son doigt dans l'encrier.	6	interaction	Il plonge son doigt dans l'encrier.	10	object	0
1650	Il lui parle à l'oreille.	3	delivery	Il lui parle à l'oreille.	6	interaction	0
1651	Apercevant d'Herbain.	0	action	Apercevant d'Herbain.	4	entrance	0
1652	Il lui baise les mains.	6	interaction	Il lui baise les mains.	6	interaction	0
1653	Germon sort.	5	exit	Germon sort.	0	action	0
1654	Elle lui montre un coeur de diamant.	0	action	Elle lui montre un coeur de diamant.	10	object	0
1655	La chambre de César s'ouvre.	0	action	La chambre de César s'ouvre.	11	setting	0
1656	Cérémonies qui s'observaient à la Réception des Chevaliers.	8	music	Cérémonies qui s'observaient à la Réception des Chevaliers.	9	narration	0
1657	Allant se mettre entre Lélie et sa maîtresse.	7	movement	Allant se mettre entre Lélie et sa maîtresse.	7	movement	0
1658	AIR. Sûre de ta foi.	8	music	AIR. Sûre de ta foi.	3	delivery	0
1659	Air 75 : Un petit moment plus tard.	8	music	Air 75 : Un petit moment plus tard.	9	narration	0
1660	À la foule.	12	toward	À la foule.	11	setting	0
1661	À Ninias.	12	toward	À Ninias.	12	toward	0
1662	À Benoît.	12	toward	À Benoît.	12	toward	0
1663	AIR : Ne m'entendez-vous pas.	8	music	AIR : Ne m'entendez-vous pas.	2	aparte	0
1664	Don Juan demande à boire, et, ses amis périssant, il quitte son verre. Mais après le mot que l'Ombre dit : Qu'en dis-tu ? il boit.	9	narration	Don Juan demande à boire, et, ses amis périssant, il quitte son verre. Mais après le mot que l'Ombre dit : Qu'en dis-tu ? il boit.	0	action	0
1665	À madame Béverlei.	12	toward	À madame Béverlei.	12	toward	0
1666	Air de la Clef des champs (Deffès)	8	music	Air de la Clef des champs (Deffès)	8	music	0
1667	Lui tendant la main :	10	object	Lui tendant la main :	6	interaction	0
1668	Il va se cacher derrière Léandre. Pierrot fait signe à Arlequin de s'approcher ; il flatte le Gougou et fait entendre par signes à Arlequin qu'il est doux et honorable d'en être mangé. Arlequin branle la tête. Carabosse veut entraîner Arlequin vers le Gougou.	9	narration	Il va se cacher derrière Léandre. Pierrot fait signe à Arlequin de s'approcher ; il flatte le Gougou et fait entendre par signes à Arlequin qu'il est doux et honorable d'en être mangé. Arlequin branle la tête. Carabosse veut entraîner Arlequin vers le Gougou.	6	interaction	0
1669	À Tous.	12	toward	À Tous.	12	toward	0
1670	Elle fait un grand cri.	3	delivery	Elle fait un grand cri.	0	action	0
1671	AIR. À quoi s'occupe Magdelon ?	8	music	AIR. À quoi s'occupe Magdelon ?	2	aparte	0
1672	AIR. Rions, chantons.	8	music	AIR. Rions, chantons.	8	music	0
1673	On entend dans la coulisse le refrain suivant.	0	action	On entend dans la coulisse le refrain suivant.	8	music	0
1674	Aux Licteurs.	12	toward	Aux Licteurs.	4	entrance	0
1675	À Isabelle se touchant le front avec la main.	12	toward	À Isabelle se touchant le front avec la main.	0	action	0
1676	Un repas champêtre. L'AMOUR.	0	action	Un repas champêtre. L'AMOUR.	11	setting	0
1677	Le théâtre représente le palais d'Hercule à Trachine.	11	setting	Le théâtre représente le palais d'Hercule à Trachine.	11	setting	0
1678	Carille sort.	5	exit	Carille sort.	5	exit	0
1679	Céliante sort.	5	exit	Céliante sort.	5	exit	0
1680	Le théâtre doit représenter un vallon délicieux.	11	setting	Le théâtre doit représenter un vallon délicieux.	11	setting	0
1681	Philipin va pour suivre Florence.	7	movement	Philipin va pour suivre Florence.	7	movement	0
1682	Il tombe.	0	action	Il tombe.	0	action	0
1683	Il signe.	0	action	Il signe.	0	action	0
1684	Madame Hébert se retire.	5	exit	Madame Hébert se retire.	5	exit	0
1685	AIR. Aimez, belle Pastorelle.	8	music	AIR. Aimez, belle Pastorelle.	8	music	0
1686	À Mme Argante et à Isabelle.	12	toward	À Mme Argante et à Isabelle.	12	toward	0
1687	Catherine va à la fenêtre.	7	movement	Catherine va à la fenêtre.	7	movement	0
1688	Arlequin arrive et se trouve là.	4	entrance	Arlequin arrive et se trouve là.	4	entrance	0
1689	Air 62 : Réveillez-vous, belle Endormie.	8	music	Air 62 : Réveillez-vous, belle Endormie.	12	toward	0
1690	AU PARTERRE.	12	toward	AU PARTERRE.	2	aparte	0
1691	Se jetant aux pieds de Wild.	0	action	Se jetant aux pieds de Wild.	6	interaction	0
1692	Stances.	8	music	Stances.	7	movement	0
1693	Il regarde l'heure à sa montre.	0	action	Il regarde l'heure à sa montre.	0	action	0
1694	Aux princes.	12	toward	Aux princes.	4	entrance	0
1695	VERS.	8	music	VERS.	6	interaction	0
1696	AIR 6. ( Vous avez bien de la bonté. )	8	music	AIR 6. ( Vous avez bien de la bonté. )	3	delivery	0
1697	Air : Nous autres bons villageois.	8	music	Air : Nous autres bons villageois.	2	aparte	0
1698	À Doña Sol.	12	toward	À Doña Sol.	12	toward	0
1699	Air : Entre l'amour et la raison.	8	music	Air : Entre l'amour et la raison.	9	narration	0
1700	Air : Ce que j'éprouve en vous voyant.	8	music	Air : Ce que j'éprouve en vous voyant.	2	aparte	0
1701	Il entend La Marquise.	0	action	Il entend La Marquise.	6	interaction	0
1702	Valentin sort. On voit des hommes qui portent des torches, rôder à travers la forêt. Entrent la baronne et l'abbé.	5	exit	Valentin sort. On voit des hommes qui portent des torches, rôder à travers la forêt. Entrent la baronne et l'abbé.	4	entrance	0
1703	Il se met à genoux devant elle.	0	action	Il se met à genoux devant elle.	0	action	0
1704	Il lui présente son épée.	10	object	Il lui présente son épée.	6	interaction	0
1705	À Aldamon.	12	toward	À Aldamon.	12	toward	0
1706	Air : Un Préfet beau, bien fait.	8	music	Air : Un Préfet beau, bien fait.	11	setting	0
1707	S'arrêtant.	3	delivery	S'arrêtant.	7	movement	0
1708	AIR 121 : Nicolas va voir Jeanne.	8	music	AIR 121 : Nicolas va voir Jeanne.	4	entrance	0
1709	Ils boivent tous trois.	0	action	Ils boivent tous trois.	6	interaction	0
1710	À Tetasse.	12	toward	À Tetasse.	12	toward	0
1711	Voyant paraître Jacques Rosbif.	0	action	Voyant paraître Jacques Rosbif.	4	entrance	0
